id,name,description,price,category,brand,image,rating,stock,tags,salesCount
1,NovaX Pro Wireless Headphones,"Immersive ANC headphones with spatial audio, deep bass, and 40-hour battery life.",8999,audio,NovaX,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?auto=format&fit=crop&w=900&q=80,4.7,45,"wireless|anc|music|premium",122
2,PixelNest Smartwatch S2,"Fitness-first smartwatch with AMOLED display, sleep tracking, GPS, and waterproof body.",6499,wearables,PixelNest,https://images.unsplash.com/photo-1523275335684-37898b6baf30?auto=format&fit=crop&w=900&q=80,4.5,60,"fitness|health|gps|smartwatch",98
3,Zenith Ultra HD Monitor 27,"27-inch 4K IPS monitor with HDR, low blue light, and ultra-thin bezels for creators.",21999,monitors,Zenith,https://images.unsplash.com/photo-1527443224154-c4a3942d3acf?auto=format&fit=crop&w=900&q=80,4.8,25,"4k|monitor|creator|display",76
4,CloudCore Gaming Laptop 15,"RTX-powered laptop built for gaming and editing with high refresh rate and fast SSD.",88999,laptops,CloudCore,https://images.unsplash.com/photo-1517336714739-489689fd1ca8?auto=format&fit=crop&w=900&q=80,4.6,18,"gaming|laptop|rtx|performance",41
5,AuraHome Air Purifier Max,"Smart HEPA purifier with quiet night mode and app-connected air quality insights.",11999,home-appliances,AuraHome,https://images.unsplash.com/photo-1585771724684-38269d6639fd?auto=format&fit=crop&w=900&q=80,4.4,33,"home|smart|purifier|hepa",57
6,VoltEdge Mechanical Keyboard,"Hot-swappable RGB mechanical keyboard with tactile switches and compact layout.",4999,accessories,VoltEdge,https://images.unsplash.com/photo-1511467687858-23d96c32e4ae?auto=format&fit=crop&w=900&q=80,4.6,80,"keyboard|rgb|mechanical|gaming",149
7,SkySnap Mirrorless Camera X5,"Travel-friendly mirrorless camera with 4K recording, stabilization, and fast autofocus.",52999,cameras,SkySnap,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=900&q=80,4.7,22,"camera|4k|travel|creator",52
8,ChargeFlow GaN Adapter 100W,"Compact fast charger with dual USB-C ports for laptops, tablets, and phones.",2999,accessories,ChargeFlow,https://images.unsplash.com/photo-1583863788434-e58a36330cf0?auto=format&fit=crop&w=900&q=80,4.3,100,"charger|gan|usb-c|travel",188
9,EchoBeam Bluetooth Speaker,"Portable speaker with punchy sound, water resistance, and weekend-long battery.",3799,audio,EchoBeam,https://images.unsplash.com/photo-1507878866276-a947ef722fee?auto=format&fit=crop&w=900&q=80,4.4,58,"speaker|portable|bluetooth|party",132
10,DataDock USB-C Hub 8-in-1,"All-in-one USB-C hub with HDMI, card reader, ethernet, and power delivery.",4299,accessories,DataDock,https://images.unsplash.com/photo-1587829741301-dc798b83add3?auto=format&fit=crop&w=900&q=80,4.2,67,"hub|usb-c|productivity|laptop",114
11,PureView Tablet 11,"Sleek entertainment tablet with quad speakers, vivid display, and stylus support.",26999,tablets,PureView,https://images.unsplash.com/photo-1544244015-0df4b3ffc6b0?auto=format&fit=crop&w=900&q=80,4.5,35,"tablet|entertainment|stylus|display",65
12,CometRun Running Shoes,"Lightweight performance shoes with cushioned sole, breathable mesh, and daily comfort.",5599,fashion,CometRun,https://images.unsplash.com/photo-1542291026-7eec264c27ff?auto=format&fit=crop&w=900&q=80,4.4,73,"shoes|running|fitness|comfort",87
